Id,GC-Content, GC-Ratio
Alouatta palliata,332,0.4099
Callicebus donacophilus,347,0.4284
Cebus albifrons,343,0.4235
Chlorocebus aethiops,360,0.4444
Colobus guereza,348,0.4296
Hylobates lar,367,0.4531
Macaca mulatta,360,0.4444
Nycticebus coucang,350,0.4321
Pan paniscus,357,0.4407
Saimiri sciureus,355,0.4383
Tarsius syrichta,323,0.3988
